attacking,attacked,support,attack,neutral
50,100,0.0014129859628155828,0.3876846134662628,0.6109023690223694
50,101,0.051484763622283936,0.16301552951335907,0.7854997515678406
50,102,0.017014499753713608,0.0010159933008253574,0.9819694757461548
50,103,0.002563167130574584,0.6784677505493164,0.3189690411090851
50,104,0.20161132514476776,0.01809334009885788,0.7802953720092773
50,105,0.000705110258422792,0.8508113622665405,0.14848347008228302
50,106,3.189422204741277e-05,0.0001466164831072092,0.9998214840888977
50,107,0.3903060555458069,0.04053262621164322,0.5691612958908081
50,108,0.9895436763763428,0.004354766104370356,0.006101653445512056
50,109,1.830371616051707e-06,0.00019339252321515232,0.9998047947883606
50,110,0.02995755337178707,7.423469651257619e-05,0.9699681997299194
50,111,0.0005332005675882101,0.0003069684898946434,0.9991598129272461
50,112,0.014681341126561165,0.0034020906314253807,0.981916606426239
50,113,0.01391623355448246,0.0034572063013911247,0.9826265573501587
50,114,2.4449393094982952e-05,0.5499708652496338,0.4500046670436859
50,115,3.018930510734208e-05,0.0006857450935058296,0.9992840886116028
50,116,6.161784403957427e-05,0.0002043496788246557,0.9997339844703674
50,117,0.00034762261202558875,0.020661527290940285,0.9789907932281494
50,118,0.0004948070272803307,0.004142968449741602,0.9953622221946716
50,119,0.8846380710601807,0.016243936493992805,0.09911792725324631
50,120,0.07704435288906097,0.14612089097499847,0.7768347263336182
50,121,0.9918431639671326,0.007485710550099611,0.0006711577880196273
50,122,0.9892116785049438,0.0005001187673769891,0.0102882394567132
50,123,0.17246785759925842,0.5417624711990356,0.28576964139938354
50,124,0.6786969900131226,0.0015663878293707967,0.31973668932914734
50,125,0.7153801321983337,0.02009423077106476,0.2645256221294403
50,126,0.5622780323028564,0.24387957155704498,0.19384236633777618
50,127,3.6466103574273045e-12,4.8975792310557154e-08,1.0
50,128,0.04827864468097687,0.004014084581285715,0.9477072358131409
50,129,4.1243107261834666e-05,8.22615731976839e-07,0.9999579191207886
50,130,0.007481209468096495,0.08136594295501709,0.9111528396606445
50,131,0.169822096824646,0.0048668766394257545,0.825311005115509
50,132,6.700204539811239e-05,0.9830862283706665,0.016846738755702972
50,133,0.013148014433681965,0.0422506257891655,0.9446013569831848
50,134,0.036389607936143875,7.06176069797948e-05,0.9635397791862488
50,135,0.036376696079969406,0.022708917036652565,0.9409143328666687
50,136,0.30677297711372375,0.0010957552585750818,0.6921313405036926
50,137,0.0013534552417695522,0.40410614013671875,0.5945403575897217
50,138,0.05148513987660408,0.16301529109477997,0.7854995131492615
50,139,0.017014475539326668,0.001015994232147932,0.9819694757461548
50,140,0.002563171088695526,0.6784674525260925,0.3189694285392761
50,141,0.20161138474941254,0.018093328922986984,0.7802952527999878
50,142,0.0007051107240840793,0.8508115410804749,0.14848332107067108
50,143,3.189422204741277e-05,0.0001466166286263615,0.9998214840888977
50,144,0.39030563831329346,0.04053264483809471,0.5691617727279663
50,145,0.9895436763763428,0.004354766104370356,0.006101653445512056
50,146,1.8303697970623034e-06,0.00019339252321515232,0.9998047947883606
50,147,0.029957618564367294,7.423482747981325e-05,0.9699680805206299
50,148,0.0005332005675882101,0.00030696819885633886,0.9991598129272461
50,149,0.014681313186883926,0.0034020838793367147,0.981916606426239
51,100,0.00028988675330765545,0.01904178224503994,0.980668306350708
51,101,0.07080630213022232,0.028116727247834206,0.9010770320892334
51,102,0.0013888386311009526,0.0004651122144423425,0.9981460571289062
51,103,0.005269820801913738,0.6790415644645691,0.3156886696815491
51,104,0.012652070261538029,0.0027217434253543615,0.9846261143684387
51,105,0.001220304286107421,0.8838936686515808,0.11488604545593262
51,106,3.67737243323063e-07,0.0002439190138829872,0.9997556805610657
51,107,0.17749325931072235,0.14748598635196686,0.675020694732666
51,108,0.9794363379478455,0.0035607677418738604,0.017002813518047333
51,109,3.344956951423228e-07,0.00013993019820190966,0.9998596906661987
51,110,0.015508444048464298,5.729626354877837e-05,0.984434187412262
51,111,2.2325244572130032e-05,0.00020019005751237273,0.9997774958610535
51,112,0.026821771636605263,0.002320199506357312,0.970858097076416
51,113,0.02591455541551113,0.0025751714129000902,0.9715102314949036
51,114,1.8133943058273871e-07,0.8570981621742249,0.14290165901184082
51,115,3.2709016295484616e-07,1.4765960258955602e-05,0.999984860420227
51,116,3.588726031011902e-06,0.00015972665278241038,0.9998366832733154
51,117,0.00010312592348782346,0.005820747464895248,0.994076132774353
51,118,0.0003090319223701954,0.00017182150622829795,0.9995191097259521
51,119,0.7491171360015869,0.011000455357134342,0.23988234996795654
51,120,0.009041687473654747,0.008736795745790005,0.9822215437889099
51,121,0.7296409010887146,0.13041773438453674,0.1399412900209427
51,122,0.9959495067596436,0.0006526250508613884,0.0033978638239204884
51,123,0.18824882805347443,0.2872803509235382,0.5244708061218262
51,124,0.5608574748039246,0.0003715858038049191,0.4387708902359009
51,125,0.05438850075006485,0.04424382746219635,0.9013676643371582
51,126,0.31390026211738586,0.04733997955918312,0.6387597918510437
51,127,1.0339650454305459e-16,3.1138861020935105e-12,1.0
